city,latitude,longitude,traditionality,cleanliness,security,transportation,low_cost
Nanyang,32.9987,112.5292,3.926667603,4.711866522,4.689204461,2.478326372,1.362661146
Hangzhou,30.267,120.153,0.891561444,0.140691785,2.186576289,0.020538293,4.691141514
Foshan,23.0214,113.1216,0.490969223,1.465320355,4.606976494,3.268615613,1.542408759
Nagoya,35.1833,136.9,0.027645506,3.512957279,3.795733912,1.805165023,4.389220993
Tongshan,34.204,117.284,1.743557308,2.945797651,4.279828441,3.673189596,4.223011524
Luanda,-8.8383,13.2344,1.581953488,1.289095619,3.222840105,3.488696364,4.14332228
Zhoukou,33.625,114.6418,3.823197559,4.310339657,0.456786113,2.580148823,1.989218691
Ganzhou,25.831,114.933,1.324526518,4.912359399,4.205907576,2.813668675,0.683769222
Kuala Lumpur,3.1478,101.6953,4.731143257,1.029921759,0.70923489,2.372236929,3.852750363
Heze,35.2343,115.4796,1.515781296,3.34883569,3.14125929,4.82053686,1.615638232
Quanzhou,24.8744,118.6757,1.050337328,2.122455256,2.418850889,4.037874301,3.259983393
Johannesburg,-26.2044,28.0456,4.778430868,0.762170879,4.184088787,0.609386991,0.082676701
Chicago,41.8375,-87.6866,2.17851765,3.740674174,2.101210366,2.150386247,2.115189901
Nanjing,32.0608,118.7789,0.93680938,0.866107143,1.861246207,2.028553994,0.626667658
Jining,35.4151,116.5871,4.81463954,4.16300898,4.730270241,2.262020517,0.097648072
Hanoi,21,105.85,1.123197629,0.573154846,4.45769046,1.259521237,3.280712697
Pune,18.5203,73.8567,3.24282717,0.949859564,1.908063498,3.863357918,3.672595715
Fuyang,32.89,115.814,1.917829643,0.257479096,2.792184107,1.709237168,4.030997039
Ahmedabad,23.0225,72.5714,2.456452348,1.433129738,3.757417183,3.386167239,3.01883986
Bogota,4.7111,-74.0722,2.714762655,2.764276582,0.681581797,1.674321667,4.469068164
Shenyang,41.8025,123.4281,3.124837684,1.404815896,1.654423087,4.153732906,1.078627181
Dar es Salaam,-6.8161,39.2803,0.766871404,0.965417687,1.692939514,0.792169238,1.70044769
Khartoum,15.6,32.5,2.103683462,2.389248852,1.890125484,3.729456985,1.525579895
Shangqiu,34.415,115.656,0.619123909,1.38593274,1.293112189,3.118128722,4.957225981
Hong Kong,22.3,114.2,2.996179851,2.703105197,3.530260308,4.423255863,2.02419891
Cangzhou,38.3047,116.8387,4.651035434,2.424260392,2.877654698,1.520021638,1.609112087
Riyadh,24.6333,46.7167,2.347086832,4.356051923,3.764275835,4.15121951,1.651045722
Santiago,-33.4372,-70.6506,2.744123927,0.122410568,2.107127348,3.949379439,1.996667961
Xingtai,37.0717,114.5048,1.224941021,2.649780138,0.097466005,2.079604197,2.999967525
Zhumadian,33.014,114.022,4.160805122,4.106780029,0.796819804,0.078790896,3.747094596
Chattogram,22.335,91.8325,2.092950223,0.995870985,3.275437193,0.664927827,0.31817409
Surabaya,-7.2458,112.7378,1.492137367,0.5596095,2.060155522,2.002803344,1.181323481
Zhanjiang,21.2701,110.3575,2.433254581,0.237840934,0.497450521,2.815730709,4.630375281
Bijie,27.284,105.292,3.680366063,0.057721875,0.487861551,1.880839534,4.296836279
Yancheng,33.3482,120.1626,4.233854429,0.68961992,4.117817226,4.292284331,2.312406528
Hengyang,26.894,112.572,2.73816739,3.943078408,2.118719916,0.832716008,2.695728994
Zunyi,27.722,107.031,0.028049882,3.960823791,4.919396583,4.70932096,4.668491836
Shaoyang,27.2395,111.4679,2.389726802,0.307903462,3.318359573,0.354835589,2.644349954
Surat,21.1702,72.8311,4.205812235,3.56081835,3.38604379,2.039221587,2.153545629
Shangrao,28.4551,117.9431,3.938803945,0.932773381,3.596217871,3.438022073,1.838686181
Xinyang,32.149,114.091,2.94916865,4.182826514,4.586642397,4.710673321,0.103586098
Madrid,40.4169,-3.7033,4.465424703,3.543027825,2.484465717,4.141887621,4.584914565
Baghdad,33.3153,44.3661,4.499343945,3.111277865,4.165677515,1.203643257,1.100823967
Maoming,21.6627,110.9255,4.744318842,1.343274486,4.519698467,0.04660924,2.365976727
Jieyang,23.551,116.3727,4.077436184,1.245967408,1.931430986,2.707495837,2.126085077
Miami,25.784,-80.2101,4.372533147,2.899113263,4.439951224,2.605691243,4.199476215
Singapore,1.3,103.8,4.85644733,3.593952214,4.541621732,3.612123504,3.363857725
Houston,29.786,-95.3885,2.896317983,4.159663591,4.954207897,3.066099817,1.981157216
Liaocheng,36.4559,115.9852,2.758583144,4.513646751,3.652569924,2.180882694,3.443119705
Huanggang,30.4537,114.8724,0.134145259,3.602078145,3.003671032,0.229760625,3.211774117
Dalian,38.9,121.6,1.222064423,4.83899893,2.42340925,3.554419409,0.164329472
Dallas,32.7935,-96.7667,2.811095845,4.347994206,3.095985323,1.497441023,1.399499202
Qingdao,36.0669,120.3827,3.224878448,2.10567754,1.2900636,2.819842372,3.690601589
Yulin,22.654,110.181,1.901889137,0.349138664,4.463164334,3.779413167,3.116529875
Douala,4.05,9.7,3.160465445,1.178629162,0.277495388,1.066201076,2.318142619
Qujing,25.491,103.796,0.937819727,0.87708356,0.327314078,2.084032107,0.689017193
Nangandao,35.3036,113.9268,4.787432512,0.487359187,0.594650061,4.515272763,3.529531958
Philadelphia,40.0077,-75.1339,4.052734497,1.889055412,3.160174929,3.162503769,3.694978732
Pudong,31.2347,121.5064,1.781760657,2.704139458,1.052868733,1.170269416,0.869888354
Toronto,43.7417,-79.3733,0.429985783,4.784564614,1.697977504,3.027360831,4.439214494
Zhengzhou,34.764,113.684,1.978800835,1.111023237,2.892859768,1.301173429,4.799781165
Dezhou,37.436,116.359,4.222144538,4.102701467,1.093233827,0.5399092,4.685642527
Nanchong,30.8372,106.1106,2.581692125,2.887201391,3.387870214,4.407855744,2.653129151
Jinan,36.6702,117.0207,3.239646769,2.428044511,0.339880148,3.135483145,2.138393926
Giza,29.987,31.2118,3.438620462,1.601825192,0.616941568,4.392599856,1.510863805
Nairobi,-1.2864,36.8172,2.536272929,1.547458681,1.223537639,0.83785042,2.629739271
Guadalajara,20.6767,-103.3475,2.039204204,2.299413916,4.193396005,1.981528658,0.948744731
Ankara,39.93,32.85,2.070219256,3.723434015,2.375753933,2.147142467,0.701978896
Tai'an,36.202,117.087,3.750467805,1.40192398,3.127022559,1.065039645,4.867315369
Langfang,39.5383,116.6835,2.790477643,1.020538986,1.048496608,1.484707059,1.618265446
Dazhou,31.2093,107.4678,4.251720377,1.920626033,2.291753981,2.039079959,3.739047117
Saint Petersburg,59.9375,30.3086,3.063992712,0.18995181,0.119162757,1.981066472,3.6635705
Monterrey,25.6667,-100.3,3.338017396,0.974909489,1.431027287,0.358598328,1.960990915
Belo Horizonte,-19.9167,-43.9333,2.753270507,2.921495779,0.193523011,4.755735275,0.205048259
Suzhou,33.6333,116.9683,2.081811234,0.493748553,1.679291823,1.595277057,3.192592397
Yongzhou,26.42,111.613,1.056017246,3.94131236,4.508950925,4.223711483,1.827972351
Changde,29.031,111.699,1.247392678,2.420059733,3.084759425,1.857679744,4.498922047
Xiangyang,32.01,112.122,1.91958867,2.236853481,4.666873435,0.039811545,0.630316211
Rangoon,16.795,96.16,1.426906492,0.143870664,1.752825271,2.380493615,3.5258994
Atlanta,33.7628,-84.422,3.488542658,0.375658388,1.822431002,1.473043885,1.262014227
Washington,38.9047,-77.0163,2.113979819,0.995639078,2.405897039,3.45157096,2.01385595
Zhaotong,27.338,103.717,2.297909588,0.948394792,0.522485914,0.267528663,1.170643784
Zhangzhou,24.513,117.647,2.211452399,0.583523686,1.063569844,4.186891117,2.726415158
Melbourne,-37.8142,144.9631,1.599097174,3.262524513,1.457845416,4.567185869,2.260800685
Yichun,27.816,114.417,4.616622192,4.981962371,2.521215002,4.883693669,3.90898652
Bozhou,33.8626,115.7742,4.851361315,0.488991049,3.375982409,3.126567991,3.034032193
Suqian,33.9331,118.2831,3.624476753,2.978629076,4.430868701,3.595748792,3.941406734
Abidjan,5.3167,-4.0333,3.031342631,0.557268266,1.40153913,0.980116457,1.905672502
Ji'an,27.0912,114.9668,2.546263523,1.956548656,2.198743796,1.758115869,3.460130087
Guilin,25.275,110.296,0.093658674,3.169961123,0.992066746,2.187113124,1.877792965
Pingdingshan,33.735,113.2999,0.703422251,4.110672083,3.245193085,4.877244524,3.353553938
Berlin,52.52,13.405,2.764387116,3.780391798,4.508896192,0.698458228,0.029602181
Alexandria,31.1975,29.8925,1.628699553,4.055842885,0.026054609,3.028339125,4.520146149
Mianyang,31.468,104.679,3.081525476,4.977287642,1.936975396,3.065810363,4.929603678
Sydney,-33.8678,151.21,3.407058435,3.526135139,3.461963952,0.795606407,4.455478371
Huanglongsi,34.795,114.345,1.337668162,4.156772289,0.882645486,4.441643732,2.626714578
Barcelona,41.3828,2.1769,3.781728106,2.706864356,3.038532145,4.243787696,2.409341256
Yuncheng,35.0267,111.007,2.045626701,4.965126039,4.720517127,2.569438845,2.373206608
Cape Town,-33.9253,18.4239,2.939143971,3.765359761,2.148581441,3.679709937,4.160697086
Changsha,28.228,112.939,4.560833208,1.484054204,2.253149435,1.340269043,3.466783588
Jeddah,21.5433,39.1728,1.197853398,2.337930458,1.941488169,2.828866818,3.924468681
Weinan,34.5206,109.471,2.581448989,4.970174277,1.364607922,1.504901003,0.245760193
Chenzhou,25.77,113.016,2.002545149,1.014791531,4.411172476,0.342213209,3.442732631
Jiangmen,22.5789,113.0815,4.421124458,0.480649817,3.308403486,3.927811056,3.635069875
Jiujiang,29.661,115.954,1.277655447,1.673361306,4.419926869,1.582415925,1.700343816
Xinpu,34.5966,119.2214,3.484030491,4.354088435,1.170112187,1.257372111,3.981585412
Yibin,28.752,104.643,4.642870371,1.182990254,1.298318926,2.20241612,4.711199783
Huaihua,27.5698,110.0016,3.667876256,1.089179484,1.860090733,1.079142784,4.416966639
Yangzhou,32.3912,119.4363,3.336294486,1.851425107,0.900582616,0.126311594,3.366636756
Taizhou,32.4567,119.9229,0.644770928,2.848796653,2.895142072,3.162033015,1.424002066
Kunming,25.0464,102.7094,0.220279256,0.434555493,2.072714263,0.908822211,0.899881343
Yiyang,28.5549,112.356,0.144416086,3.789997569,0.54673524,4.501501495,0.138664681
Changchun,43.897,125.326,0.341082238,3.030391829,0.445690881,1.148735517,1.179943902
Lu'an,31.736,116.52,1.081131166,0.794528384,3.642185268,4.297110501,2.505158123
Jiangguanchi,34.0244,113.8201,0.764006606,3.056253137,2.00630506,3.922883446,4.008975084
Meizhou,24.289,116.122,2.820032258,0.301703798,2.057664304,0.623551928,0.49316082
Urumqi,43.8225,87.6125,2.09926243,0.902899771,3.566286411,4.441964351,2.515483216
Suzhou,31.3,120.6194,3.337290781,1.969221638,2.562815397,2.663004851,0.208926321
Boston,42.3188,-71.0852,1.695726669,0.668213697,4.830573713,0.994502517,4.001361049
Izmir,38.42,27.14,3.11840151,2.243331055,0.31269163,1.068741191,3.249045998
Guigang,23.112,109.599,0.61590574,0.177323785,1.873783583,2.333837255,0.661212522
Shantou,23.354,116.682,2.770301086,0.799612386,1.882488999,3.260591173,0.229560602
Kabul,34.5253,69.1783,0.986143314,4.735182425,0.758237096,0.559407348,1.398382326
Xiaoganzhan,30.918,113.957,4.874737269,0.140436835,0.878093813,0.663282713,1.525027274
Bamako,12.6392,-8.0028,0.759043212,3.46206885,1.336814837,3.148159817,4.184779075
Luzhou,28.871,105.442,3.832566461,1.271936751,1.887112529,4.882725722,1.946521947
Hefei,31.8206,117.2273,3.392799666,4.283036749,0.239611708,1.937379369,4.310109885
Hengshui,37.739,115.669,4.267801177,0.207360999,3.034941957,4.010397539,2.900500853
Fortaleza,-3.7275,-38.5275,2.855817615,4.604131703,0.105660848,2.210376394,3.145094132
Anqing,30.5318,117.1153,3.179410472,2.737005843,3.910176025,2.247851344,2.273851186
Liuzhou,24.3264,109.4281,1.490046646,4.65158694,0.231852792,0.79535529,4.214824772
Zhangjiakou,40.769,114.886,2.542447242,4.241226314,1.807905346,0.904748879,3.577940861
Zhaoqing,23.05,112.4667,2.280897693,1.142309232,0.485781531,0.259235624,4.102256095
Shijiazhuang,38.0425,114.51,3.463762664,0.239392579,3.78607319,4.314195686,2.168453282
Ningbo,29.8603,121.6245,3.209077912,2.085335071,2.222976442,1.859731934,1.617373937
Qiqihar,47.3549,123.9182,3.559312203,1.546270594,1.689840157,1.135871988,1.786151676
Phoenix,33.5722,-112.0892,2.020835533,3.91583331,1.160658794,1.19851847,2.992768912
Fuzhou,27.949,116.358,1.030898652,4.684047944,4.912935782,2.326349568,3.027798227
Chifeng,42.257,118.888,4.112213295,1.54923515,1.294321374,4.684780253,2.237800526
Xiaoxita,30.692,111.287,4.566225001,2.015960636,4.462156444,0.268717481,1.241913951
Amman,31.9497,35.9328,4.542489837,3.030519951,2.417545149,1.816922637,1.660364125
Chuzhou,32.256,118.333,1.71120956,4.022163712,2.040468019,2.858119976,1.174986392
Linfen,36.088,111.519,1.193934653,2.697876702,0.665882318,3.379264895,4.851142387
Qingyuan,23.682,113.056,2.533023982,4.165028672,4.876139306,1.450586688,3.312816556
Xianyang,34.3299,108.7088,3.607463517,1.782719481,0.860536493,0.635007663,1.459863646
Loudi,27.6998,111.9944,3.045044217,0.019200479,0.326132025,3.43806675,2.7228118
Binzhou,37.383,117.971,1.560380374,0.862357094,2.35279036,0.320202233,0.01657435
Zhuzhou,27.829,113.133,4.563246025,3.435351209,0.863040723,1.231348192,2.571206787
Taiyuan,37.8704,112.5497,3.137684439,4.023528751,3.85365148,1.504668551,1.600195406
Nanning,22.8167,108.3275,2.106878508,3.788166593,1.90070497,4.584650383,2.362061604
Harbin,45.7576,126.6409,3.938662637,3.070701779,3.707123301,0.782737936,3.111139259
Abuja,9.0667,7.4833,0.483585816,2.545776475,1.277214548,1.90716851,1.908426939
Yokohama,35.4442,139.6381,4.4731366,4.506316113,0.203950612,3.334725738,1.922865301
Suihua,46.654,126.969,0.415799013,2.296483895,1.143145562,2.8939772,2.214520456
Zaozhuang,34.8109,117.3238,2.453371014,4.449386426,0.36782045,2.244921844,2.244121315
Detroit,42.3834,-83.1024,2.777817867,0.756735532,2.550747247,2.049801615,2.328112206
Xiamen,24.4796,118.0889,3.68158192,2.266791578,0.782815558,3.231021324,4.927032759
Neijiang,29.5802,105.058,2.410872417,3.180404889,1.283163668,1.438696318,3.293453835
Montreal,45.5089,-73.5617,0.496276069,0.586817248,2.202231118,2.665907457,0.089916279
Fuzhou,26.0743,119.2964,0.105896678,4.253081357,4.660087564,0.14969365,1.686294485
Baicheng,23.903,106.619,2.725493193,3.070749077,4.500148423,2.981520452,3.502308868
Wuhu,31.3526,118.4331,4.674669039,0.094988899,4.25904304,3.810025189,2.383242463
Yulinshi,38.2858,109.7341,3.831911527,4.756028832,1.347286066,3.496057913,2.588293459
Medan,3.5894,98.6739,1.376657823,4.265679361,3.963525643,0.940007659,0.882053376
Wenzhou,27.9938,120.6993,2.806647501,4.63765744,3.344548234,0.454573277,4.624073658
Changzhou,31.811,119.974,4.162554986,0.642798893,0.410721189,3.96357419,2.562151739
Puyang,35.7627,115.0292,4.777971256,0.720668056,4.022474646,4.651764397,2.587558904
Jiaozuo,35.2157,113.2419,4.959489621,1.070174786,3.461333526,1.871477992,3.150984147
Nanchang,28.683,115.858,3.990732077,4.637202877,1.635009079,2.747112443,0.808759102
Seattle,47.6211,-122.3244,2.294983607,2.796838312,0.630338992,1.9826866,2.752770064
Ibadan,7.3964,3.9167,3.661438283,2.401686687,0.037468822,3.830061592,4.996721756
Casablanca,33.5333,-7.5833,0.3470496,3.061691341,2.345481866,2.673045268,2.08090836
Kumasi,6.7,-1.625,3.129119759,0.30412254,0.651232009,0.457745936,3.349945584
Deyang,31.127,104.398,0.984184424,0.327001268,0.963581433,3.227657576,1.714482937
Busan,35.18,129.075,0.518718808,0.036856544,4.545174125,4.307310378,4.364195095
Hohhot,40.842,111.749,3.244167254,4.364721049,3.736094999,0.03793763,2.931616503
Hechi,24.693,108.085,0.456705429,0.235578544,2.34672983,0.138886043,2.958841114
Algiers,36.7539,3.0589,1.350894982,4.966312578,2.445796566,1.430071281,3.684603795
Tangshan,39.6294,118.1739,4.455367309,4.451432285,1.583793148,3.442235509,2.350757097
Shiyan,32.629,110.7987,1.139666275,1.260693985,1.687448789,4.940352363,1.918218563
Lucknow,26.85,80.95,3.376386063,4.949773737,1.084970436,2.564360136,3.822972615
Mashhad,36.3264,59.5433,1.857938699,0.259952591,1.819646792,4.772621286,4.35016463
San Francisco,37.7558,-122.4449,0.591720084,1.555677353,3.276523046,4.709689671,1.925233807
Boankra,6.6944,-1.4028,3.630548882,0.646004761,0.89706996,1.301364444,3.883667789
Dubai,25.2631,55.2972,0.258796555,2.904823046,4.113140423,4.931997239,3.9354669
Anshan,41.108,122.994,3.596808807,0.739352463,1.496907814,4.694402094,0.850722573
Baojishi,34.363,107.238,2.29774135,4.149858195,2.151333395,1.018270776,4.317934046
Qinzhou,21.981,108.654,3.130774766,1.337870241,4.634231681,4.775016267,0.794322651
Guiyang,26.647,106.63,3.850594883,1.1753485,0.926669215,3.347027884,3.677944356
Bengbu,32.917,117.389,4.379994596,4.797213433,2.991095832,2.370397146,3.347570937
Bazhou,31.868,106.748,3.136128554,2.818157211,3.07534637,0.842747344,2.069922579
Suining,30.533,105.593,3.137771276,1.287104599,3.17472443,0.445110028,2.48228544
Wuxi,31.491,120.312,0.688510616,0.236262169,3.983883364,0.813353085,1.772142696
Kotla Qasim Khan,32.5833,73.75,1.012644645,4.906391683,0.255754996,4.710538372,1.682435596
Hanzhong,33.0664,107.0232,4.545995703,2.361135643,2.723680053,2.184495734,0.279478698
Putian,25.4526,119.0078,3.96188885,0.471866636,1.892046886,0.647157956,4.964664892
Zhenjiang,32.188,119.424,1.983195688,3.550158022,1.090110827,0.220367376,2.258930706
Guang'an,30.4564,106.6326,2.936151537,3.019318195,2.208704184,3.364266429,1.279529896
Faisalabad,31.4167,73.0911,3.216837182,0.16869811,0.667270959,2.33672899,1.807515999
Changzhi,36.195,113.117,1.78420946,1.507298891,1.930957935,1.324529987,1.820261384
Tongren,27.7316,109.1895,2.057356413,4.072417746,3.923179025,2.599829593,2.930693342
Leshan,29.552,103.766,0.727319303,4.525155701,3.50850142,4.678470558,3.398260148
Santa Cruz de la Sierra,-17.7892,-63.1975,0.128611035,1.197637293,0.288492189,2.072958375,4.732209383
Qinhuangdao,39.8882,119.5202,4.998851351,2.218521156,0.907894773,0.725676081,1.995854389
Jaipur,26.9,75.8,2.291424901,4.000417591,1.765352475,3.212255128,4.202858869
Xinzhou,38.416,112.734,3.964764247,4.292280672,4.507245347,3.986154576,1.222209169
Lanzhou,36.0606,103.8268,4.747017009,2.123433401,4.528529176,0.9954354,2.726892174
Wuzhou,23.4767,111.279,2.244390039,1.351761137,3.741381735,0.076824352,4.300799506
Athens,37.9842,23.7281,4.776196493,1.552422611,1.552272202,0.650050434,4.244552215
San Diego,32.8313,-117.1222,4.68295466,2.556946379,4.256661367,3.625867004,0.983695349
Addis Ababa,9.03,38.74,4.631413465,2.289540337,2.136714722,3.654058098,3.985673365
Taichung,24.1439,120.6794,2.480796368,2.116891268,0.192258126,2.268000666,0.233302767
Huainan,32.6314,117.0194,1.869978913,1.145579406,2.682424678,1.337120524,0.86236242
Guatemala City,14.6133,-90.5353,2.434542661,2.594215387,3.043780021,1.632224693,1.8970086
Kuwait City,29.3697,47.9783,0.901023507,0.884072844,4.486840694,3.518989125,2.475421896
Budapest,47.4925,19.0514,2.341594364,2.97501579,3.758729233,4.236023368,3.074378601
Qincheng,34.5809,105.7311,1.271357142,1.609056935,4.492689558,4.708785465,4.21112849
Rizhao,35.417,119.527,0.880612398,3.616263655,3.295697018,1.462876628,2.073758077
Quezon City,14.65,121.0475,3.950818457,2.250445888,2.254611693,4.92586041,4.436539793
Sanaa,15.3483,44.2064,4.916207535,3.970581575,0.983869775,1.31087198,4.902059392
Tashkent,41.3111,69.2797,3.749320363,3.164191388,2.236218868,1.607491518,3.200614022
Kyiv,50.45,30.5233,3.209939693,3.700344628,3.34956244,1.680747254,0.671078935
Meishan,30.0771,103.8484,3.068666579,2.328775645,2.212360099,1.228203013,2.751405973
Incheon,37.4833,126.6333,1.986281348,4.011370731,1.66482289,2.611898693,1.131262893
Birmingham,52.48,-1.9025,4.467191171,0.587432589,2.392837748,2.922239855,4.404290119
Ningde,26.6662,119.5477,4.259472778,0.747986927,3.53237102,2.324344388,2.11624619
Zhongshan,22.517,113.3925,2.799179913,4.667123685,1.429698999,3.158441825,3.535322932
Weihai,37.5133,122.1205,0.729692059,3.943954256,0.69658794,0.120124195,3.564761562
Bursa,40.1833,29.05,3.889046071,3.125728726,3.411482256,0.639712661,2.852409035
Minneapolis,44.9635,-93.2678,3.537533519,0.316103778,3.511980543,2.21876868,0.56425284
Mbuji-Mayi,-6.15,23.6,4.419564081,4.989426195,2.77731577,0.869446357,1.069142812
Haikou,20.0186,110.3488,2.619074366,3.167557303,2.131489033,3.383620562,4.40802747
Tongliao,43.654,122.243,3.090121625,2.967034472,0.886708955,1.712083257,1.424620853
Chaoyang,41.571,120.453,1.100685383,1.442887037,3.828300809,4.207133351,4.059119185
La Paz,-16.4958,-68.1333,1.165466542,2.953008871,3.933567819,4.706036809,1.334082416
Pyongyang,39.0167,125.7475,2.851911038,2.918229955,1.111931173,1.292215473,1.364849071
Tampa,27.9945,-82.4447,2.811668052,2.20218987,0.22348144,1.954058055,1.770119378
Shaoguan,24.811,113.597,1.156352935,3.740147856,1.872420967,1.174692116,3.783872226
Heyuan,23.7443,114.7002,1.813213611,4.425208939,4.405086538,1.947330777,3.077978069
Brasilia,-15.7939,-47.8828,1.282744866,0.241074768,2.219183028,3.873504184,3.639764981
Omdurman,15.65,32.4833,1.061270081,3.400885926,0.849923035,0.190110763,1.849619828
Malang,-7.98,112.62,2.944945659,3.643063825,4.410538583,4.638932268,3.987727289
Stuttgart,48.7775,9.18,1.759179406,3.383941661,3.793090574,4.540188877,4.587209467
Daqing,46.589,125.104,0.929406396,0.448639594,3.034086795,0.48128222,0.554673057
Rome,41.8933,12.4828,0.830672261,3.95504696,2.958402795,2.706164591,1.205940237
Brooklyn,40.6501,-73.9496,4.59392161,2.783051058,1.645924591,1.976717113,1.997070557
Kaohsiung,22.615,120.2975,2.321033552,3.188991654,1.646827367,2.574639176,1.61829101
Xiangtan,27.8313,112.9454,4.862166719,2.282177928,3.479433986,3.25809066,2.636136037
Longyan,25.076,117.017,0.660321944,3.366596774,1.530105863,3.11809666,0.389895598
Baotou,40.6213,109.9532,3.645461483,3.885360948,2.488157309,4.583729281,4.393162207
Handan,36.601,114.487,3.808915444,3.990415128,3.876116081,4.640258004,2.119108794
Jinzhou,41.129,121.148,1.683098597,1.137278058,4.228512898,3.309629411,1.011963828
Kanpur,26.4499,80.3319,3.17350996,4.130338826,4.73040814,4.670595083,0.389389096
Denver,39.762,-104.8758,1.235133295,4.662953092,2.629884945,4.745050522,1.008837804
Nanping,26.6418,118.1774,0.211432719,0.676567017,0.897036424,0.428656195,0.094361025
Gazipura,23.9889,90.375,0.776456499,0.617711251,1.180309715,2.040974303,3.441160806
Shanwei,22.7872,115.3756,2.898890501,3.555818129,2.369839581,3.894463053,3.366868149
Chaozhou,23.658,116.622,4.616832418,3.994271589,2.829122726,3.770361485,1.193815761
Guayaquil,-2.19,-79.8875,4.563271903,2.990860937,1.946440793,1.655432119,3.817326338
Weifang,36.708,119.162,1.114095342,4.580607883,4.44156713,1.830732716,0.460821963
Huai'an,33.551,119.113,4.661441327,2.217261778,4.684353162,0.546835334,1.471032189
Zibo,36.8138,118.055,3.110267452,0.60973106,1.583490388,1.363598977,1.726711771
Ankang,32.6854,109.029,0.760667028,1.579462278,4.370195901,4.812654502,1.087186786
